Term,Institution Sector,Total Enrollment,Ethnicity,Enrollment
Fall 2016,Comprehensive Colleges,85633,Hispanic/Latino,10321
Fall 2016,Doctoral Degree Granting Institutions,107422,Hispanic/Latino,9653
Fall 2016,Technology Colleges,26806,Hispanic/Latino,3523
Fall 2015,Community Colleges,222998,Hispanic/Latino,29222
Fall 2015,Comprehensive Colleges,87764,Hispanic/Latino,9629
Fall 2015,Doctoral Degree Granting Institutions,105998,Hispanic/Latino,8957
Fall 2015,Technology Colleges,26180,Hispanic/Latino,3149
Fall 2014,Community Colleges,233812,Hispanic/Latino,28584
Fall 2014,Comprehensive Colleges,89442,Hispanic/Latino,9133
Fall 2014,Doctoral Degree Granting Institutions,105408,Hispanic/Latino,8505
Fall 2014,Technology Colleges,26177,Hispanic/Latino,2945
Fall 2013,Community Colleges,239791,Hispanic/Latino,27436
Fall 2013,Comprehensive Colleges,89701,Hispanic/Latino,8115
Fall 2013,Doctoral Degree Granting Institutions,104285,Hispanic/Latino,8080
Fall 2013,Technology Colleges,25773,Hispanic/Latino,2719
Fall 2012,Community Colleges,243007,Hispanic/Latino,25968
Fall 2012,Comprehensive Colleges,90908,Hispanic/Latino,7546
Fall 2012,Doctoral Degree Granting Institutions,102205,Hispanic/Latino,7529
Fall 2012,Technology Colleges,25696,Hispanic/Latino,2432
Fall 2011,Community Colleges,247667,Hispanic/Latino,24101
Fall 2011,Comprehensive Colleges,92783,Hispanic/Latino,6827
Fall 2011,Doctoral Degree Granting Institutions,101664,Hispanic/Latino,7290
Fall 2011,Technology Colleges,25892,Hispanic/Latino,2250
Fall 2010,Community Colleges,249343,Hispanic/Latino,21809
Fall 2010,Comprehensive Colleges,93204,Hispanic/Latino,5362
Fall 2010,Doctoral Degree Granting Institutions,100457,Hispanic/Latino,6112
Fall 2010,Technology Colleges,28180,Hispanic/Latino,2079
Fall 2009,Community Colleges,239243,Hispanic/Latino,18982
Fall 2009,Comprehensive Colleges,94024,Hispanic/Latino,5415
Fall 2009,Doctoral Degree Granting Institutions,100402,Hispanic/Latino,5562
Fall 2009,Technology Colleges,27778,Hispanic/Latino,1480
Fall 2008,Community Colleges,220995,Hispanic/Latino,17363
Fall 2008,Comprehensive Colleges,92825,Hispanic/Latino,5148
Fall 2008,Doctoral Degree Granting Institutions,99162,Hispanic/Latino,5374
Fall 2008,Technology Colleges,26541,Hispanic/Latino,1562
Fall 2007,Community Colleges,214129,Hispanic/Latino,15478
Fall 2007,Comprehensive Colleges,90894,Hispanic/Latino,4753
Fall 2007,Doctoral Degree Granting Institutions,96945,Hispanic/Latino,5062
Fall 2007,Technology Colleges,25430,Hispanic/Latino,1409
Fall 2006,Community Colleges,209059,Hispanic/Latino,14553
Fall 2006,Comprehensive Colleges,89059,Hispanic/Latino,4404
Fall 2006,Doctoral Degree Granting Institutions,95136,Hispanic/Latino,5030
Fall 2006,Technology Colleges,24321,Hispanic/Latino,1308
Fall 2005,Community Colleges,208370,Hispanic/Latino,13782
Fall 2005,Comprehensive Colleges,87171,Hispanic/Latino,4116
Fall 2005,Doctoral Degree Granting Institutions,94198,Hispanic/Latino,4806
Fall 2005,Technology Colleges,24426,Hispanic/Latino,1243
Fall 2004,Community Colleges,209646,Hispanic/Latino,13358
Fall 2004,Comprehensive Colleges,86808,Hispanic/Latino,3930
Fall 2004,Doctoral Degree Granting Institutions,92737,Hispanic/Latino,4555
Fall 2004,Technology Colleges,24381,Hispanic/Latino,1216
Fall 2003,Community Colleges,204487,Hispanic/Latino,12623
Fall 2003,Comprehensive Colleges,87543,Hispanic/Latino,3765
Fall 2003,Doctoral Degree Granting Institutions,94041,Hispanic/Latino,4464
Fall 2003,Technology Colleges,23809,Hispanic/Latino,1239
Fall 2002,Community Colleges,198522,Hispanic/Latino,12099
Fall 2002,Comprehensive Colleges,88899,Hispanic/Latino,3699
Fall 2002,Doctoral Degree Granting Institutions,92295,Hispanic/Latino,4320
Fall 2002,Technology Colleges,23223,Hispanic/Latino,1215
Fall 2020,Doctoral Degree Granting Institutions,113127,Hispanic/Latino,11908
Fall 2020,Comprehensive Colleges,81181,Hispanic/Latino,11549
Fall 2020,Technology Colleges,25982,Hispanic/Latino,4356
Fall 2020,Community Colleges,173929,Hispanic/Latino,28141
Fall 2021,Doctoral Degree Granting Institutions,112239,Hispanic/Latino,12101
Fall 2021,Comprehensive Colleges,73882,Hispanic/Latino,10367
Fall 2021,Technology Colleges,23477,Hispanic/Latino,4127
Fall 2021,Community Colleges,160516,Hispanic/Latino,27109
Fall 2022,Doctoral Degree Granting Institutions,110941,Hispanic/Latino,12330
Fall 2022,Comprehensive Colleges,70297,Hispanic/Latino,9811
Fall 2022,Technology Colleges,23041,Hispanic/Latino,4249
Fall 2022,Community Colleges,159333,Hispanic/Latino,28602
Fall 2023,Doctoral Degree Granting Institutions,111057,Hispanic/Latino,12610
Fall 2023,Comprehensive Colleges,70644,Hispanic/Latino,10223
Fall 2023,Technology Colleges,23612,Hispanic/Latino,4658
Fall 2023,Community Colleges,162225,Hispanic/Latino,30424
Fall 2019,Community Colleges,192959,Native Hawaiian or Other Pacific Islander,255
Fall 2019,Comprehensive Colleges,83674,Native Hawaiian or Other Pacific Islander,88
Fall 2019,Doctoral Degree Granting Institutions,112265,Native Hawaiian or Other Pacific Islander,59
Fall 2019,Technology Colleges,26674,Native Hawaiian or Other Pacific Islander,24
Fall 2018,Community Colleges,199873,Native Hawaiian or Other Pacific Islander,274
Fall 2018,Comprehensive Colleges,85613,Native Hawaiian or Other Pacific Islander,87
Fall 2018,Doctoral Degree Granting Institutions,111299,Native Hawaiian or Other Pacific Islander,55
Fall 2018,Technology Colleges,27266,Native Hawaiian or Other Pacific Islander,36
Fall 2017,Community Colleges,209418,Native Hawaiian or Other Pacific Islander,305
Fall 2017,Comprehensive Colleges,86301,Native Hawaiian or Other Pacific Islander,86
Fall 2017,Doctoral Degree Granting Institutions,109030,Native Hawaiian or Other Pacific Islander,73
Fall 2017,Technology Colleges,27106,Native Hawaiian or Other Pacific Islander,50
Fall 2016,Community Colleges,216277,Native Hawaiian or Other Pacific Islander,346
Fall 2016,Comprehensive Colleges,85633,Native Hawaiian or Other Pacific Islander,92
Fall 2016,Doctoral Degree Granting Institutions,107422,Native Hawaiian or Other Pacific Islander,69
Fall 2016,Technology Colleges,26806,Native Hawaiian or Other Pacific Islander,56
Fall 2015,Community Colleges,222998,Native Hawaiian or Other Pacific Islander,389
Fall 2015,Comprehensive Colleges,87764,Native Hawaiian or Other Pacific Islander,110
Fall 2015,Doctoral Degree Granting Institutions,105998,Native Hawaiian or Other Pacific Islander,77
